Host Id,5162530,33134899,39608626,500,500,1039
Description,1 Bedroom in Prime Williamsburg,Sunny,Sunny Room in Harlem,Gorgeous 1 BR with Private Balcony,Trendy Times Square Loft,Big Greenpoint 1BD w/ Skyline View
Neighbourhood ,Brooklyn, Private room in Bushwick,Manhattan,Manhattan, With Roommate,Brooklyn
Property Type,Apartment,Brooklyn,Apartment,Apartment,Manhattan,Apartment
Review Scores Rating (bin),96,Apartment,99,100,Apartment,100
Room Type,Entire home/apt,93,Private room,Entire home/apt,95,Entire home/apt
Zipcode,11249,Private room,10032,10024,Private room,11222
Beds,1,11206,1,3,10036,1
Number of Records,1,1,1,1,3,1
Number Of Reviews,0,1,1,0,1,4
Price,145,1,28,199,39,149
,,37,,,549,
