Type,Team,Position,Name,DOB
Age,England,DF,Ashley Young,7/9/85
Age,England,DF,"Danny Rose, Jr".,7/2/90
Age,England,DF,Fabian Delph,11/21/89
Age,England,DF,Gary Cahill,12/19/85
Age,England,DF,Harry Maguire,3/5/93
Age,England,DF,John Stones,5/28/94
Age,England,DF,Kieran Trippier,9/19/90
Age,England,DF,Kyle Walker,5/28/90
Age,England,DF,Phil Jones,2/21/92
Age,England,DF,Trent Alexander-Arnold,10/7/98
Age,England,FW,Danny Welbeck,11/26/90
Age,England,FW,Harry Kane (captain),7/28/93
Age,England,FW,Jamie Vardy,1/11/87
Age,England,FW,Marcus Rashford,10/31/97
Age,England,FW,Raheem Sterling,12/8/94
Age,England,GK,Jack Butland,3/10/93
Age,England,GK,Jordan Pickford,3/7/94
Age,England,GK,Nick Pope,4/19/92
Age,England,MF,Dele Alli,4/11/96
Age,England,MF,Eric Dier,1/15/94
Age,England,MF,Jesse Lingard,12/15/92
Age,England,MF,Jordan Henderson,6/17/90
Age,England,MF,Ruben Loftus-Cheek,1/23/96
Age,Panama,DF,Adolfo Machado,2/14/85
Age,Panama,DF,Erick Davis,3/31/91
Age,Panama,DF,Felipe Baloy (captain),2/24/81
Age,Panama,DF,Fidel Escobar,1/9/95
Age,Panama,DF,Harold Cummings,3/1/92
Age,Panama,DF,Luis Ovalle,9/7/88
Age,Panama,DF,Michael Amir Murillo,2/15/96
Age,Panama,DF,Rom‡n Torres,3/20/86
Age,Panama,FW,Abdiel Arroyo,12/13/93
Age,Panama,FW,Blas P_rez,3/13/81
Age,Panama,FW,Gabriel Torres,10/31/88
Age,Panama,FW,Ismael D’az,5/12/97
Age,Panama,FW,Luis Tejada,3/28/82
Age,Panama,GK,çlex Rodr’guez,8/5/90
Age,Panama,GK,Jaime Penedo,9/26/81
Age,Panama,GK,Jos_ Calder—n,8/14/85
Age,Panama,MF,Alberto Quintero,12/18/87
Age,Panama,MF,An’bal Godoy,2/10/90
Age,Panama,MF,Armando Cooper,11/26/87
Age,Panama,MF,ƒdgar B‡rcenas,10/23/93
Age,Panama,MF,Gabriel G—mez,5/29/84
Age,Panama,MF,Jos_ Luis Rodr’guez,6/19/98
Age,Panama,MF,Valent’n Pimentel,5/30/91
Age,Tunisia,DF,Ali Ma‰loul,1/1/90
Age,Tunisia,DF,Dylan Bronn,6/19/95
Age,Tunisia,DF,Hamdi Nagguez,10/28/92
Age,Tunisia,DF,Oussama Haddadi,1/28/92
Age,Tunisia,DF,Rami Bedoui,1/19/90
Age,Tunisia,DF,Syam Ben Youssef,3/31/89
Age,Tunisia,DF,Yassine Meriah,7/2/93
Age,Tunisia,DF,Yohan Benalouane,3/28/87
Age,Tunisia,FW,Anice Badri,8/18/90
Age,Tunisia,FW,Bassem Srarfi,6/25/97
Age,Tunisia,FW,Fakhreddine Ben Youssef,6/21/91
Age,Tunisia,FW,Saber Khalifa,10/14/86
Age,Tunisia,FW,Wahbi Khazri,2/8/91
Age,Tunisia,GK,Aymen Mathlouthi (captain),9/14/84
Age,Tunisia,GK,Farouk Ben Mustapha,7/1/89
Age,Tunisia,GK,Mouez Hassen,3/5/95
Age,Tunisia,MF,Ahmed Khalil,12/21/94
Age,Tunisia,MF,Ellyes Skhiri,5/10/95
Age,Tunisia,MF,Ferjani Sassi,3/18/92
