Average of Annual Salary,
Row Labels,Total
DoIT,99978.06061
BUILDINGS,99246.76104
MAYOR'S OFFICE,98186.14286
FIRE,97958.60081
BOARD OF ETHICS,95061
HUMAN RELATIONS,94819.5
BUDGET & MGMT,91836.54545
TREASURER,91832.86364
WATER MGMNT,89843.70164
CULTURAL AFFAIRS,89566.55172
TRANSPORTN,88657.90554
COMMUNITY DEVELOPMENT,88430.77833
POLICE,86486.4145
POLICE BOARD,86136
LAW,85958.32153
HEALTH,85557.50103
LICENSE APPL COMM,84420
DISABILITIES,83879.57143
GENERAL SERVICES,83545.05712
PROCUREMENT,83093.86667
STREETS & SAN,83019.25
BUSINESS AFFAIRS,80577.07317
HUMAN RESOURCES,80230.56
FAMILY & SUPPORT,79895.7622
INSPECTOR GEN,79874.75862
AVIATION,78750.54932
ADMIN HEARNG,78683.69231
COPA,76150.03448
OEMC,74060.4883
FINANCE,73781.25581
CITY CLERK,70899.39286
PUBLIC LIBRARY,70750.40782
ANIMAL CONTRL,66197.6129
CITY COUNCIL,64482.5668
BOARD OF ELECTION,53548.14953
Grand Total,86786.99979
