REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
7/8/18 0:00,MIDNIGHT,HOMICIDE,OTHERS,3000 - 3099 BLOCK OF 15TH STREET NW,3,302,1,1A,Cluster 2,002802 1,2802,Precinct 39,18057776,396891,139999,4/11/18 16:52,4/11/18 19:58
7/8/18 17:01,EVENING,MOTOR VEHICLE THEFT,OTHERS,1500 - 1599 BLOCK OF SHIPPEN LANE SE,7,704,8,8E,Cluster 38,007404 2,7404,Precinct 117,18094055,401585,131266,6/10/18 3:00,6/10/18 9:00
7/2/18 21:22,EVENING,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF FLORIDA AVENUE NW,3,305,1,1B,Cluster 3,004400 1,4400,Precinct 22,18108158,397328,139157,7/2/18 19:19,7/2/18 20:57
7/2/18 20:20,EVENING,MOTOR VEHICLE THEFT,OTHERS,4600 - 4699 BLOCK OF LIVINGSTON ROAD SE,7,708,8,8D,Cluster 39,009810 1,9810,Precinct 125,18108163,399831,128349,6/27/18 19:00,7/2/18 20:20
7/2/18 22:26,EVENING,THEFT/OTHER,OTHERS,2300 - 2399 BLOCK OF ALTAMONT PLACE SE,6,606,8,8B,Cluster 34,007605 2,7605,Precinct 134,18108183,402427,132897,7/2/18 19:41,7/2/18 21:04
7/2/18 20:59,EVENING,MOTOR VEHICLE THEFT,OTHERS,1800 - 1899 BLOCK OF SUMMIT PLACE NW,3,303,1,1C,Cluster 1,003900 2,3900,Precinct 35,18108186,396330,139826,5/29/18 21:00,5/30/18 10:00
7/2/18 21:06,EVENING,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,1001,Precinct 31,18108192,392607,143559,7/2/18 14:15,7/2/18 14:19
7/2/18 23:14,MIDNIGHT,THEFT F/AUTO,OTHERS,300 - 363 BLOCK OF MASSACHUSETTS AVENUE NW,1,103,2,2C,Cluster 8,005900 1,5900,Precinct 143,18108226,398651,136899,7/2/18 19:46,7/2/18 22:00
7/2/18 22:25,EVENING,MOTOR VEHICLE THEFT,OTHERS,1300 - 1399 BLOCK OF 4TH STREET NE,5,501,5,5D,Cluster 23,008803 1,8803,Precinct 76,18108229,400121,137998,7/2/18 16:02,7/2/18 17:00
7/3/18 2:32,MIDNIGHT,THEFT F/AUTO,OTHERS,1000 - 1027 BLOCK OF 31ST STREET NW,2,206,2,2E,Cluster 4,000100 4,100,Precinct 5,18108237,394697,137241,7/2/18 19:25,7/2/18 22:30
