REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE,day
9/14/17 16:54,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17159600,397226,136542,9/14/17 16:18,9/14/17 16:24,5
9/21/17 17:41,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17164075,397497,136718,9/21/17 16:46,9/21/17 17:15,5
9/28/17 16:56,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF I STREET NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,17168606,397328,137053,9/21/17 16:10,9/22/17 18:00,5
8/22/17 23:44,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,718 - 799 BLOCK OF 15TH STREET NW,2,207,2,2B,Cluster 8,010100 1,10100,Precinct 17,17145348,397081,136849,8/22/17 15:00,8/22/17 23:00,3
8/24/17 2:07,MIDNIGHT,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF NEW YORK AVENUE NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17145395,397298,136869,8/23/17 1:00,8/23/17 1:30,4
7/29/17 18:12,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17130190,397430,136664,7/29/17 17:13,7/29/17 17:48,7
8/23/17 9:25,DAY,THEFT F/AUTO,OTHERS,600 - 699 BLOCK OF 12TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17145498,397563,136664,8/21/17 17:00,8/23/17 8:30,2
8/30/17 17:27,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17150084,397497,136718,8/30/17 13:00,8/30/17 13:30,4
8/7/17 19:57,EVENING,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17135804,397497,136718,8/7/17 12:00,8/7/17 18:15,2
8/8/17 17:31,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF I STREET NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,17136310,397328,137053,7/26/17 12:00,8/3/17 8:30,4
9/7/17 18:38,EVENING,THEFT/OTHER,OTHERS,700 - 799 BLOCK OF 12TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17155121,397564,136801,9/1/17 9:00,9/5/17 18:00,6
9/22/17 18:15,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17164541,397497,136718,9/22/17 10:30,9/22/17 11:01,6
9/8/17 20:55,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF F STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17155909,397496,136610,9/8/17 20:15,9/8/17 20:20,6
9/16/17 5:08,MIDNIGHT,BURGLARY,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17160642,397329,136718,9/16/17 1:20,9/16/17 4:07,7
9/29/17 20:47,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17169366,397497,136718,9/29/17 20:10,,6
8/24/17 13:59,DAY,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17146321,397429,136542,8/24/17 11:15,8/24/17 12:00,5
10/10/17 12:01,DAY,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17175662,397429,136542,10/9/17 13:00,10/9/17 13:30,2
10/10/17 19:17,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17175830,397329,136718,10/10/17 16:15,10/10/17 16:16,3
10/10/17 19:37,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17175883,397430,136664,10/10/17 16:41,10/10/17 17:50,3
9/23/17 20:43,EVENING,THEFT/OTHER,OTHERS,700 - 723 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17165566,397228,136778,9/23/17 19:53,9/23/17 20:15,7
9/30/17 23:13,MIDNIGHT,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17170038,397430,136664,9/30/17 22:26,9/30/17 22:58,7
8/19/17 3:55,MIDNIGHT,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17142865,397226,136542,8/18/17 20:23,8/18/17 20:33,6
8/26/17 0:46,MIDNIGHT,ROBBERY,KNIFE,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17147382,397430,136664,8/25/17 22:50,8/25/17 22:59,6
8/26/17 0:18,MIDNIGHT,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 15TH STREET NW,2,207,2,2A,,006202 1,6202,Precinct 2,17147229,397081,136664,8/25/17 17:30,8/25/17 18:50,6
9/3/17 7:09,DAY,ASSAULT W/DANGEROUS WEAPON,KNIFE,1306 - 1399 BLOCK OF H STREET NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,17152379,397302,136928,9/3/17 3:30,9/3/17 7:01,1
